18:13:39 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 53788 
18:13:39 info -  [SocketServerLauncher] Starting GLSP server connection 
18:13:39 info -  [DefaultGLSPServer] Initializing server with: applicationId: 9957ed68-777d-43a1-ad57-8e5d93cf5baa, protocolVersion: 1.0.0 
18:13:41 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
18:13:41 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
18:13:41 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
18:13:41 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:13:41 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
18:13:51 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:13:51 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:13:52 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:13:52 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:13:54 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:13:54 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:13:57 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:13:57 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:13:59 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:13:59 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:14:02 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:14:02 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:14:04 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:14:05 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:14:07 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:14:07 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:14:10 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:14:10 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:14:12 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:14:12 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:14:15 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:14:15 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:14:17 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
