18:37:03 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 54054 
18:37:04 info -  [SocketServerLauncher] Starting GLSP server connection 
18:37:04 info -  [DefaultGLSPServer] Initializing server with: applicationId: 6a3f2a63-54eb-4642-bab5-eb4964f552f9, protocolVersion: 1.0.0 
18:37:05 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
18:37:05 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
18:37:05 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
18:37:05 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:37:05 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
18:37:11 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:37:11 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:37:12 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
18:37:19 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:37:19 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:37:22 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:37:23 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:37:24 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
18:37:45 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:37:46 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:37:47 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:37:47 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:37:50 info -  [DefaultGLSPServer] process [action=deleteElement, clientId=tasklist-diagram_0] 
18:37:50 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:37:52 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
