18:40:45 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 54409 
18:40:45 info -  [SocketServerLauncher] Starting GLSP server connection 
18:40:45 info -  [DefaultGLSPServer] Initializing server with: applicationId: f3ecf12d-0c99-492d-83b6-01c42a6125fc, protocolVersion: 1.0.0 
18:40:46 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
18:40:46 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
18:40:47 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
18:40:47 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:40:47 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
18:40:52 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:40:52 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:40:54 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:40:54 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:40:57 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:40:57 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:40:58 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
18:41:14 info -  [DefaultGLSPServer] process [action=deleteElement, clientId=tasklist-diagram_0] 
18:41:14 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:41:15 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
18:41:16 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:41:18 info -  [DefaultGLSPServer] process [action=deleteElement, clientId=tasklist-diagram_0] 
18:41:18 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:41:20 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:41:20 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:41:23 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:41:23 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:41:27 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:41:27 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:41:29 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:41:29 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:41:30 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
18:41:46 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:41:46 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:41:48 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:41:48 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:41:54 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:41:54 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:41:56 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:41:56 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:41:58 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
18:42:13 info -  [DefaultGLSPServer] process [action=deleteElement, clientId=tasklist-diagram_0] 
18:42:13 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:42:14 info -  [DefaultGLSPServer] process [action=deleteElement, clientId=tasklist-diagram_0] 
18:42:14 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:42:18 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:42:18 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:42:20 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
