16:34:02 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 53188 
16:34:03 info -  [SocketServerLauncher] Starting GLSP server connection 
16:34:03 info -  [DefaultGLSPServer] Initializing server with: applicationId: 7b2cd4ba-4ba3-4de5-a0bb-ac81748a17ef, protocolVersion: 1.0.0 
16:34:05 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
16:34:05 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
16:34:05 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
16:34:05 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
16:34:05 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
16:34:08 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
16:34:08 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
16:34:09 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
16:34:09 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
16:34:12 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
16:34:12 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
16:34:14 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
16:34:15 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
16:34:16 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
16:34:16 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
16:34:19 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
