16:36:18 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 62385 
16:36:18 info -  [SocketServerLauncher] Starting GLSP server connection 
16:36:18 info -  [DefaultGLSPServer] Initializing server with: applicationId: e891f434-144b-4762-b759-1c69f6a32826, protocolVersion: 1.0.0 
16:36:20 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
16:36:20 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
16:36:20 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
16:36:20 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
16:36:20 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
16:36:24 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
16:36:24 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
16:36:27 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
16:36:27 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
16:36:28 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
16:36:28 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
16:36:29 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
