18:16:51 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 55797 
18:16:51 info -  [SocketServerLauncher] Starting GLSP server connection 
18:16:51 info -  [DefaultGLSPServer] Initializing server with: applicationId: a468dcf0-0c7f-431a-a5f2-28f810b55222, protocolVersion: 1.0.0 
18:16:52 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
18:16:52 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
18:16:52 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
18:16:52 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:16:52 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
18:17:00 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:17:00 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:17:01 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:17:02 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:17:04 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:17:04 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:17:07 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:17:07 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:17:08 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:17:08 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:17:10 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:17:10 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:17:12 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:17:12 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:17:14 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:17:14 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:17:18 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:17:18 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:17:20 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:17:22 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:17:22 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:17:22 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:17:23 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:17:24 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:17:25 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:17:25 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:17:25 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:17:25 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:17:25 info -  [DefaultGLSPServer] process [action=applyLabelEdit, clientId=tasklist-diagram_0] 
18:17:26 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:17:28 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:17:28 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:17:28 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:17:29 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:17:30 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:17:31 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:17:31 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:17:31 info -  [DefaultGLSPServer] process [action=applyLabelEdit, clientId=tasklist-diagram_0] 
18:17:31 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:17:33 info -  [DefaultGLSPServer] process [action=generateSql, clientId=tasklist-diagram_0] 
