18:18:59 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 55849 
18:18:59 info -  [SocketServerLauncher] Starting GLSP server connection 
18:18:59 info -  [DefaultGLSPServer] Initializing server with: applicationId: 489f4851-7998-4514-b760-f311a754a8d2, protocolVersion: 1.0.0 
18:19:00 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
18:19:00 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
18:19:00 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
18:19:00 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:19:00 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
18:19:03 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:19:03 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:19:04 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:19:05 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:19:07 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:19:07 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:19:08 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:19:08 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:19:10 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:19:10 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:19:12 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:19:12 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:19:15 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:19:15 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:19:16 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:19:17 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:19:21 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:19:21 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:19:22 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
18:19:23 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:19:23 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
18:19:23 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:19:24 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
18:19:24 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:19:25 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
18:19:25 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:19:28 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:19:28 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:19:29 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:19:29 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:19:30 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:19:30 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:19:30 info -  [DefaultGLSPServer] process [action=applyLabelEdit, clientId=tasklist-diagram_0] 
18:19:30 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:19:33 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:19:33 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:19:34 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:19:35 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:19:35 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:19:35 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:19:35 info -  [DefaultGLSPServer] process [action=applyLabelEdit, clientId=tasklist-diagram_0] 
18:19:35 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:19:38 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
18:19:39 info -  [DefaultGLSPServer] process [action=generateSql, clientId=tasklist-diagram_0] 
