18:20:27 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 61143 
18:20:27 info -  [SocketServerLauncher] Starting GLSP server connection 
18:20:28 info -  [DefaultGLSPServer] Initializing server with: applicationId: b0b45d3e-706d-4409-a9ba-3ff8458a4595, protocolVersion: 1.0.0 
18:20:29 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
18:20:29 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
18:20:29 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
18:20:29 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:20:29 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
18:20:31 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:20:31 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:20:32 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:20:32 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:20:35 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:20:35 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:20:36 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:20:36 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:20:39 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:20:39 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:20:42 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:20:42 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:20:43 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:20:43 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:20:45 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:20:45 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:20:47 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:20:47 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:20:49 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:20:49 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:20:50 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:20:51 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:20:51 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:20:51 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:20:52 info -  [DefaultGLSPServer] process [action=applyLabelEdit, clientId=tasklist-diagram_0] 
18:20:52 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:20:53 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:20:54 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:20:54 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:20:54 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:20:55 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:20:55 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
18:20:55 info -  [DefaultGLSPServer] process [action=applyLabelEdit, clientId=tasklist-diagram_0] 
18:20:55 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:20:56 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
18:20:56 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:20:57 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
18:20:58 info -  [DefaultGLSPServer] process [action=generateSql, clientId=tasklist-diagram_0] 
