22:35:09 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 61893 
22:35:09 info -  [SocketServerLauncher] Starting GLSP server connection 
22:35:09 info -  [DefaultGLSPServer] Initializing server with: applicationId: 15af95fe-0bca-459f-bfcd-84109cd561bc, protocolVersion: 1.0.0 
22:35:13 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
22:35:13 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
22:35:13 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
22:35:13 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
22:35:13 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
22:35:29 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
22:35:29 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
22:35:31 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
22:35:31 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
22:35:31 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
22:35:31 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
22:35:37 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
22:35:37 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
22:35:37 info -  [DefaultGLSPServer] process [action=applyLabelEdit, clientId=tasklist-diagram_0] 
22:35:37 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
22:35:42 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
22:35:42 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
22:35:47 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
22:35:47 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
22:35:47 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
22:35:47 info -  [DefaultGLSPServer] process [action=applyLabelEdit, clientId=tasklist-diagram_0] 
22:35:48 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
22:35:50 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
22:35:50 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
22:35:52 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
22:35:53 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
22:35:54 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
22:35:55 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
22:35:55 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
22:35:55 info -  [DefaultGLSPServer] process [action=applyLabelEdit, clientId=tasklist-diagram_0] 
22:35:55 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
22:35:57 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
22:35:57 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
22:35:58 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
22:35:59 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
22:36:01 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
22:36:01 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
