23:02:04 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 61562 
23:02:04 info -  [SocketServerLauncher] Starting GLSP server connection 
23:02:04 info -  [DefaultGLSPServer] Initializing server with: applicationId: 21a19c15-78b7-4809-aa7b-6dab8f4d018f, protocolVersion: 1.0.0 
23:02:06 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
23:02:06 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
23:02:06 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
23:02:06 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
23:02:06 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
23:02:09 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_1', diagramType: 'tasklist-diagram' 
23:02:09 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_1] 
23:02:09 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_1] 
23:02:09 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_1] 
23:02:09 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_1] 
23:02:16 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
23:02:19 info -  [DefaultGLSPServer] process [action=generateSql, clientId=tasklist-diagram_0] 
23:02:26 info -  [DefaultGLSPServer] process [action=generateSql, clientId=tasklist-diagram_1] 
23:02:29 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_2', diagramType: 'tasklist-diagram' 
23:02:29 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_2] 
23:02:29 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_2] 
23:02:29 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_2] 
23:02:29 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_2] 
23:02:30 info -  [DefaultGLSPServer] process [action=generateSql, clientId=tasklist-diagram_2] 
23:02:58 info -  [DefaultGLSPServer] process [action=generateSql, clientId=tasklist-diagram_1] 
23:03:05 info -  [DefaultGLSPServer] process [action=generateSql, clientId=tasklist-diagram_0] 
23:03:12 info -  [DefaultGLSPServer] process [action=generateSql, clientId=tasklist-diagram_2] 
