21:47:22 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 57144 
21:47:22 info -  [SocketServerLauncher] Starting GLSP server connection 
21:47:22 info -  [DefaultGLSPServer] Initializing server with: applicationId: 9079ac88-81d8-405b-bf49-591a9733a568, protocolVersion: 1.0.0 
21:47:24 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
21:47:24 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
21:47:24 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
21:47:24 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
21:47:24 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
21:47:49 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
21:47:49 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
21:47:53 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
21:47:53 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
21:47:55 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
21:47:55 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
21:47:56 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
21:47:56 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
21:47:57 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
21:47:57 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
21:47:58 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
21:48:00 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
21:48:00 info -  [DefaultGLSPServer] process [action=applyLabelEdit, clientId=tasklist-diagram_0] 
21:48:00 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
21:48:00 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
21:48:03 info -  [DefaultGLSPServer] process [action=deleteElement, clientId=tasklist-diagram_0] 
21:48:03 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
