22:59:33 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 56724 
22:59:34 info -  [SocketServerLauncher] Starting GLSP server connection 
22:59:34 info -  [DefaultGLSPServer] Initializing server with: applicationId: e04503cf-2379-4ee5-873b-320baa66bc2c, protocolVersion: 1.0.0 
22:59:35 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
22:59:35 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
22:59:35 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
22:59:35 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
22:59:35 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
22:59:40 info -  [DefaultGLSPServer] process [action=generateSql, clientId=tasklist-diagram_0] 
22:59:54 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
22:59:55 info -  [DefaultGLSPServer] process [action=generateSql, clientId=tasklist-diagram_0] 
23:00:02 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_1', diagramType: 'tasklist-diagram' 
23:00:02 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_1] 
23:00:02 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_1] 
23:00:02 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_1] 
23:00:02 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_1] 
23:00:03 info -  [DefaultGLSPServer] process [action=generateSql, clientId=tasklist-diagram_1] 
23:00:10 info -  [DefaultGLSPServer] process [action=generateSql, clientId=tasklist-diagram_0] 
