16:40:01 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 58603 
16:40:01 info -  [SocketServerLauncher] Starting GLSP server connection 
16:40:01 info -  [DefaultGLSPServer] Initializing server with: applicationId: ddb90fb9-4cc6-4002-8809-a17ee662d998, protocolVersion: 1.0.0 
16:40:03 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
16:40:03 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
16:40:03 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
16:40:03 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
16:40:03 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
16:40:08 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
16:40:08 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
16:40:10 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
16:40:10 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
16:40:14 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
16:40:14 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
