16:41:01 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 56753 
16:41:01 info -  [SocketServerLauncher] Starting GLSP server connection 
16:41:01 info -  [DefaultGLSPServer] Initializing server with: applicationId: c3a771f3-4e6a-4368-9b3a-c8ff09b9dcb6, protocolVersion: 1.0.0 
16:41:03 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
16:41:04 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
16:41:04 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
16:41:04 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
16:41:04 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
16:41:14 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
16:41:14 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
16:41:15 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
16:41:15 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
16:41:17 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
16:41:18 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
