17:29:28 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 57360 
17:29:28 info -  [SocketServerLauncher] Starting GLSP server connection 
17:29:28 info -  [DefaultGLSPServer] Initializing server with: applicationId: 27751b23-9060-4239-b79f-a6bdb6db81f0, protocolVersion: 1.0.0 
17:29:30 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
17:29:30 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
17:29:31 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
17:29:31 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:29:31 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
17:29:34 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
17:29:34 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:29:38 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
17:29:38 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
17:29:39 info -  [DefaultGLSPServer] process [action=applyLabelEdit, clientId=tasklist-diagram_0] 
17:29:39 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:29:40 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
17:29:40 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:29:41 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
17:29:41 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:29:44 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
17:29:44 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:29:46 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
17:29:46 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:29:50 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
17:29:51 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:29:53 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
17:29:53 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:29:55 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
17:29:58 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
17:29:59 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
17:29:59 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
17:30:00 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
17:30:00 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
17:30:00 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
17:30:00 info -  [DefaultGLSPServer] process [action=applyLabelEdit, clientId=tasklist-diagram_0] 
17:30:00 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:30:03 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
17:30:04 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
17:30:04 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
17:30:05 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
17:30:05 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
17:30:06 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
17:30:06 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
17:30:06 info -  [DefaultGLSPServer] process [action=applyLabelEdit, clientId=tasklist-diagram_0] 
17:30:06 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:30:11 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
17:30:11 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:30:12 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
17:30:12 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
