17:36:23 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 62080 
17:36:23 info -  [SocketServerLauncher] Starting GLSP server connection 
17:36:23 info -  [DefaultGLSPServer] Initializing server with: applicationId: 12767195-71c2-479f-8f52-7f8d9a7380b7, protocolVersion: 1.0.0 
17:36:25 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
17:36:25 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
17:36:25 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
17:36:25 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:36:25 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
17:36:32 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
17:36:32 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:36:33 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
17:36:33 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:36:36 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
17:36:36 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:36:37 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
17:36:37 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:36:38 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
17:36:38 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:36:40 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
17:36:40 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:36:42 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
17:36:42 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:36:44 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
17:36:44 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
17:36:45 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
17:36:45 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
17:36:46 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
17:36:46 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
17:36:46 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
17:36:46 info -  [DefaultGLSPServer] process [action=applyLabelEdit, clientId=tasklist-diagram_0] 
17:36:46 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:37:14 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
