16:33:29 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 60080 
16:33:29 info -  [SocketServerLauncher] Starting GLSP server connection 
16:33:29 info -  [DefaultGLSPServer] Initializing server with: applicationId: 3270192c-a56d-4293-8b39-8c68587a2454, protocolVersion: 1.0.0 
16:33:34 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
16:33:34 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
16:33:34 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
16:33:34 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
16:33:34 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
16:33:35 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_1', diagramType: 'tasklist-diagram' 
16:33:35 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_1] 
16:33:35 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_1] 
16:33:36 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_1] 
16:33:36 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_1] 
16:33:37 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_4', diagramType: 'tasklist-diagram' 
16:33:37 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_4] 
16:33:37 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_4] 
16:33:51 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_6', diagramType: 'tasklist-diagram' 
16:33:51 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_6] 
16:33:51 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_6] 
16:33:51 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_6] 
16:33:51 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_6] 
16:33:58 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_6] 
16:33:59 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_6] 
16:34:00 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_6] 
16:34:00 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_6] 
16:34:04 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_6] 
16:34:06 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_6] 
16:34:09 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_6] 
16:34:09 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_6] 
16:34:09 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_6] 
16:34:09 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_6] 
16:34:13 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_6] 
16:34:13 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_6] 
16:34:15 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_6] 
16:34:16 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_6] 
16:34:16 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_6] 
16:34:16 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_6] 
16:34:17 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_6] 
16:34:17 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_6] 
16:34:17 info -  [DefaultGLSPServer] process [action=applyLabelEdit, clientId=tasklist-diagram_6] 
16:34:17 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_6] 
16:34:20 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_6] 
16:34:21 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_6] 
16:34:22 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_6] 
16:34:23 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_6] 
16:34:24 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_6] 
16:34:24 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_6] 
16:34:24 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_6] 
16:34:24 info -  [DefaultGLSPServer] process [action=applyLabelEdit, clientId=tasklist-diagram_6] 
16:34:24 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_6] 
16:34:26 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_6] 
16:34:26 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_6] 
16:34:27 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_6] 
16:34:27 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_6] 
16:34:28 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_6] 
16:34:28 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_6] 
16:34:31 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_6] 
16:34:31 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_6] 
16:34:31 info -  [DefaultGLSPServer] process [action=applyLabelEdit, clientId=tasklist-diagram_6] 
16:34:31 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_6] 
16:34:34 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_6] 
16:34:34 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_6] 
16:34:35 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_6] 
16:34:35 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_6] 
16:34:36 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_6] 
16:34:36 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_6] 
16:34:39 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_6] 
16:34:40 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_6] 
16:34:40 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_6] 
16:34:40 info -  [DefaultGLSPServer] process [action=applyLabelEdit, clientId=tasklist-diagram_6] 
16:34:40 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_6] 
16:34:53 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_6] 
16:34:53 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_6] 
16:34:55 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_6] 
16:34:55 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_6] 
16:34:56 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_6] 
16:34:57 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_6] 
16:34:57 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_6] 
