18:26:42 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 61771 
18:26:42 info -  [SocketServerLauncher] Starting GLSP server connection 
18:26:42 info -  [DefaultGLSPServer] Initializing server with: applicationId: c2520d81-c197-4adc-9dbd-fd9230b1213c, protocolVersion: 1.0.0 
18:26:44 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
18:26:44 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
18:26:44 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
18:26:44 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:26:44 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
18:26:54 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_1', diagramType: 'tasklist-diagram' 
18:26:54 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_1] 
18:26:54 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_1] 
18:26:54 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_1] 
18:26:54 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_1] 
18:27:05 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_1] 
18:27:05 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_1] 
18:27:06 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_1] 
18:27:06 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_1] 
18:27:08 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_1] 
18:27:09 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_1] 
18:27:09 info -  [DefaultGLSPServer] process [action=applyLabelEdit, clientId=tasklist-diagram_1] 
18:27:09 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_1] 
18:27:09 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_1] 
18:27:14 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_1] 
18:27:17 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_1] 
18:27:19 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_1] 
18:27:20 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_1] 
18:27:20 info -  [DefaultGLSPServer] process [action=applyLabelEdit, clientId=tasklist-diagram_1] 
18:27:20 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_1] 
18:27:20 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_1] 
18:27:21 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_1] 
18:27:21 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_1] 
18:27:21 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_1] 
18:27:21 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_1] 
18:27:22 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_1] 
18:27:22 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_1] 
18:27:26 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_1] 
18:27:26 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_1] 
18:27:27 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_1] 
18:27:28 info -  [DefaultGLSPServer] process [action=applyLabelEdit, clientId=tasklist-diagram_1] 
18:27:28 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_1] 
18:27:28 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_1] 
18:27:34 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_1] 
18:27:34 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_1] 
18:27:37 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_1] 
18:27:38 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_1] 
18:27:38 info -  [DefaultGLSPServer] process [action=applyLabelEdit, clientId=tasklist-diagram_1] 
18:27:38 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_1] 
18:27:39 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_1] 
18:27:43 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_1] 
18:27:43 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_1] 
18:27:48 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_1] 
18:27:49 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_1] 
18:27:49 info -  [DefaultGLSPServer] process [action=applyLabelEdit, clientId=tasklist-diagram_1] 
18:27:49 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_1] 
18:27:49 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_1] 
18:27:50 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_1] 
18:27:50 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_1] 
18:27:52 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_1] 
18:27:52 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_1] 
18:27:54 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_1] 
18:27:55 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_1] 
