18:33:49 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 61743 
18:33:49 info -  [SocketServerLauncher] Starting GLSP server connection 
18:33:49 info -  [DefaultGLSPServer] Initializing server with: applicationId: 038f067d-4ecd-4183-87ec-dd7e1904222c, protocolVersion: 1.0.0 
18:33:50 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
18:33:50 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
18:33:50 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
18:33:51 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:33:51 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
18:33:53 info -  [DefaultGLSPServer] process [action=generateSql, clientId=tasklist-diagram_0] 
18:34:01 info -  [DefaultGLSPServer] process [action=generateSql, clientId=tasklist-diagram_0] 
18:34:19 info -  [DefaultGLSPServer] process [action=generateSql, clientId=tasklist-diagram_0] 
18:37:15 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
18:37:25 info -  [DefaultGLSPServer] process [action=generateSql, clientId=tasklist-diagram_0] 
18:37:39 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_1', diagramType: 'tasklist-diagram' 
18:37:39 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_1] 
18:37:39 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_1] 
18:37:39 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_1] 
18:37:39 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_1] 
18:37:40 info -  [DefaultGLSPServer] process [action=generateSql, clientId=tasklist-diagram_1] 
