18:39:14 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 58027 
18:39:14 info -  [SocketServerLauncher] Starting GLSP server connection 
18:39:14 info -  [DefaultGLSPServer] Initializing server with: applicationId: f2b96d9f-5192-489a-b250-96d2680ca45e, protocolVersion: 1.0.0 
18:39:15 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
18:39:15 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
18:39:16 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
18:39:16 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:39:16 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
18:39:23 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_1', diagramType: 'tasklist-diagram' 
18:39:23 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_1] 
18:39:23 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_1] 
18:39:23 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_1] 
18:39:23 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_1] 
18:39:24 info -  [DefaultGLSPServer] process [action=generateSql, clientId=tasklist-diagram_1] 
