22:30:45 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 56943 
22:30:45 info -  [SocketServerLauncher] Starting GLSP server connection 
22:30:46 info -  [DefaultGLSPServer] Initializing server with: applicationId: 53080452-ef71-4be1-91d9-dbdee62a4cbb, protocolVersion: 1.0.0 
22:30:47 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
22:30:47 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
22:30:47 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
22:30:47 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
22:30:47 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
22:30:51 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
22:30:51 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
22:30:53 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
22:30:53 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
22:30:56 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
22:30:56 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
22:30:57 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
22:30:57 info -  [DefaultGLSPServer] process [action=applyLabelEdit, clientId=tasklist-diagram_0] 
22:30:57 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
22:31:04 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
22:31:04 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
22:31:06 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
22:31:06 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
22:31:08 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
22:31:08 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
22:31:12 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
22:31:12 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
