20:00:33 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 49781 
20:00:33 info -  [SocketServerLauncher] Starting GLSP server connection 
20:00:33 info -  [DefaultGLSPServer] Initializing server with: applicationId: f785178e-701d-485b-8d6e-3aac2f2dda35, protocolVersion: 1.0.0 
20:00:35 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
20:00:35 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
20:00:35 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
20:00:35 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
20:00:35 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
20:00:49 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
20:00:49 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
20:00:51 info -  [DefaultGLSPServer] process [action=changeBounds, clientId=tasklist-diagram_0] 
20:00:52 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
20:00:55 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
20:00:55 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
20:00:56 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
20:00:56 info -  [DefaultGLSPServer] process [action=applyLabelEdit, clientId=tasklist-diagram_0] 
20:00:56 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
20:01:08 info -  [DefaultGLSPServer] process [action=deleteElement, clientId=tasklist-diagram_0] 
20:01:08 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
20:01:31 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
20:01:31 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
20:01:33 info -  [DefaultGLSPServer] process [action=changeBounds, clientId=tasklist-diagram_0] 
20:01:33 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
20:01:34 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
20:01:34 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
20:01:36 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
20:01:36 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
20:01:36 info -  [DefaultGLSPServer] process [action=applyLabelEdit, clientId=tasklist-diagram_0] 
20:01:36 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
20:01:39 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
20:01:39 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
20:01:43 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
20:01:43 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
20:01:43 info -  [DefaultGLSPServer] process [action=applyLabelEdit, clientId=tasklist-diagram_0] 
20:01:43 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
