20:19:11 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 50843 
20:19:11 info -  [SocketServerLauncher] Starting GLSP server connection 
20:19:11 info -  [DefaultGLSPServer] Initializing server with: applicationId: 49171061-5a22-4812-a470-6ced2e92695e, protocolVersion: 1.0.0 
20:19:17 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
20:19:17 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
20:19:17 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
20:19:18 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
20:19:18 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
20:19:30 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
20:19:30 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
20:19:32 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
20:19:32 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
20:19:34 info -  [DefaultGLSPServer] process [action=changeBounds, clientId=tasklist-diagram_0] 
20:19:34 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
20:19:35 info -  [DefaultGLSPServer] process [action=changeBounds, clientId=tasklist-diagram_0] 
20:19:36 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
20:19:37 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
20:19:38 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
20:19:38 info -  [DefaultGLSPServer] process [action=applyLabelEdit, clientId=tasklist-diagram_0] 
20:19:38 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
20:19:40 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
20:19:40 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
20:19:40 info -  [DefaultGLSPServer] process [action=applyLabelEdit, clientId=tasklist-diagram_0] 
20:19:40 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
20:19:41 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
20:19:41 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
20:19:43 info -  [DefaultGLSPServer] process [action=deleteElement, clientId=tasklist-diagram_0] 
20:19:43 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
20:19:45 info -  [DefaultGLSPServer] process [action=deleteElement, clientId=tasklist-diagram_0] 
20:19:45 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
