16:56:44 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 60024 
16:56:45 info -  [SocketServerLauncher] Starting GLSP server connection 
16:56:45 info -  [DefaultGLSPServer] Initializing server with: applicationId: 671ca81e-2db5-4580-b1e2-2ab4b9b385f7, protocolVersion: 1.0.0 
16:56:46 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
16:56:46 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
16:56:46 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
16:56:46 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
16:56:46 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
16:56:48 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
16:56:48 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
16:56:50 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
16:56:50 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
16:56:52 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
16:56:52 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
16:56:53 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
16:57:11 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
16:57:11 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
16:57:21 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
16:57:21 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
16:57:22 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
16:57:22 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
