17:30:27 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 55481 
17:30:27 info -  [SocketServerLauncher] Starting GLSP server connection 
17:30:27 info -  [DefaultGLSPServer] Initializing server with: applicationId: 79996b88-c8f3-4832-9587-58eb77d59853, protocolVersion: 1.0.0 
17:30:29 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
17:30:29 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
17:30:29 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
17:30:29 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:30:29 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
17:30:36 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
17:30:36 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:30:39 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
17:30:39 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:30:43 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
17:30:43 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:30:46 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
17:30:46 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:30:48 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
17:30:48 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:30:51 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
17:30:51 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:31:03 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
17:31:05 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
17:31:05 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:31:05 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
17:31:05 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:31:10 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
17:31:10 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:31:13 info -  [DefaultGLSPServer] process [action=deleteElement, clientId=tasklist-diagram_0] 
17:31:13 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:31:16 info -  [DefaultGLSPServer] process [action=deleteElement, clientId=tasklist-diagram_0] 
17:31:16 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:31:19 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
17:31:28 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
17:31:28 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:31:32 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
17:31:32 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:31:33 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
17:31:34 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
17:31:34 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:31:57 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
17:32:28 info -  [DefaultGLSPServer] process [action=deleteElement, clientId=tasklist-diagram_0] 
17:32:28 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:32:31 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
17:32:31 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:32:33 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
17:32:50 info -  [DefaultGLSPServer] process [action=deleteElement, clientId=tasklist-diagram_0] 
17:32:50 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:32:53 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
17:32:53 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:32:56 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
17:32:56 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
17:32:57 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
17:33:07 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
17:33:07 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
