18:12:56 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 60762 
18:12:56 info -  [SocketServerLauncher] Starting GLSP server connection 
18:12:56 info -  [DefaultGLSPServer] Initializing server with: applicationId: 8f869b84-69cc-40d8-8330-954f5e594c1a, protocolVersion: 1.0.0 
18:12:58 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
18:12:58 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
18:12:58 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
18:12:58 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:12:58 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
18:13:06 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:13:06 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:13:08 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:13:08 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:13:10 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:13:10 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:13:11 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
18:13:24 info -  [DefaultGLSPServer] process [action=deleteElement, clientId=tasklist-diagram_0] 
18:13:24 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:13:26 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:13:26 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:13:27 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
18:13:33 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
18:13:33 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:13:38 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:13:38 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:13:40 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:13:41 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:13:43 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
