18:19:16 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 60569 
18:19:16 info -  [SocketServerLauncher] Starting GLSP server connection 
18:19:16 info -  [DefaultGLSPServer] Initializing server with: applicationId: 34752195-615a-4e7d-b289-f32572642b54, protocolVersion: 1.0.0 
18:19:17 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
18:19:17 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
18:19:17 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
18:19:17 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:19:17 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
18:19:21 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:19:21 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:19:25 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:19:25 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:19:27 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:19:27 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:19:29 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:19:29 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:19:33 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:19:34 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:19:43 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:19:43 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:19:45 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:19:45 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:19:46 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
18:19:53 info -  [DefaultGLSPServer] process [action=deleteElement, clientId=tasklist-diagram_0] 
18:19:53 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:19:57 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:19:57 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:19:59 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
18:20:00 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
