18:37:41 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 55075 
18:37:41 info -  [SocketServerLauncher] Starting GLSP server connection 
18:37:41 info -  [DefaultGLSPServer] Initializing server with: applicationId: e807a59f-d64e-433f-9a6c-00ab5de161e6, protocolVersion: 1.0.0 
18:37:42 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
18:37:42 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
18:37:42 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
18:37:42 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:37:42 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
18:37:59 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:37:59 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:38:00 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
18:38:11 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
18:38:11 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:38:13 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
18:38:13 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:38:15 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
18:38:15 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:38:18 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:38:18 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:38:20 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:38:20 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:38:21 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
18:38:31 info -  [DefaultGLSPServer] process [action=deleteElement, clientId=tasklist-diagram_0] 
18:38:31 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:38:33 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:38:33 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:38:35 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:38:35 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:38:36 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
18:38:48 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
18:38:48 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
18:38:48 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
