18:40:30 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 56448 
18:40:30 info -  [SocketServerLauncher] Starting GLSP server connection 
18:40:30 info -  [DefaultGLSPServer] Initializing server with: applicationId: b5cea2bf-a48a-4df2-8377-40dd5348b95a, protocolVersion: 1.0.0 
18:40:32 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
18:40:32 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
18:40:32 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
18:40:32 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:40:32 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
18:40:37 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:40:37 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:40:40 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:40:40 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:40:45 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:40:45 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:40:46 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
18:40:56 info -  [DefaultGLSPServer] process [action=deleteElement, clientId=tasklist-diagram_0] 
18:40:56 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:40:59 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:40:59 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:41:01 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:41:01 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:41:04 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:41:05 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:41:08 info -  [DefaultGLSPServer] process [action=deleteElement, clientId=tasklist-diagram_0] 
18:41:08 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:41:11 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:41:11 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:41:12 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
