18:47:54 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 55942 
18:47:54 info -  [SocketServerLauncher] Starting GLSP server connection 
18:47:54 info -  [DefaultGLSPServer] Initializing server with: applicationId: 5ff4e99a-90a4-4e1c-95fc-4fe5fb55e03f, protocolVersion: 1.0.0 
18:47:56 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
18:47:56 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
18:47:56 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
18:47:56 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:47:56 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
18:47:59 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:47:59 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:48:00 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:48:00 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:48:02 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:48:02 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:48:05 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:48:05 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:48:07 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:48:07 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:48:08 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
18:48:17 info -  [DefaultGLSPServer] process [action=deleteElement, clientId=tasklist-diagram_0] 
18:48:17 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:48:19 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:48:19 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:48:21 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
18:48:33 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:48:33 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:48:35 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:48:35 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:48:36 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
18:48:46 info -  [DefaultGLSPServer] process [action=deleteElement, clientId=tasklist-diagram_0] 
18:48:46 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:48:49 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:48:49 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:48:50 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
