16:48:01 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 50158 
16:48:01 info -  [SocketServerLauncher] Starting GLSP server connection 
16:48:01 info -  [DefaultGLSPServer] Initializing server with: applicationId: 0b7c5012-2438-4068-b6aa-3fb839348177, protocolVersion: 1.0.0 
16:48:03 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
16:48:03 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
16:48:03 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
16:48:03 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
16:48:03 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
16:48:21 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
16:48:21 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
16:48:23 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
16:48:23 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
16:48:27 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
16:48:27 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
16:48:29 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
16:48:29 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
16:48:32 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
16:48:32 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
16:48:37 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
16:48:37 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
16:48:40 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
16:48:40 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
16:48:47 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
16:48:47 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
16:48:49 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
16:48:50 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
16:48:50 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
16:49:03 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
16:49:03 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
16:49:14 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
16:49:14 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
