18:59:18 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 49314 
18:59:18 info -  [SocketServerLauncher] Starting GLSP server connection 
18:59:18 info -  [DefaultGLSPServer] Initializing server with: applicationId: 6ed831e3-8879-4c8f-ae34-e2e8e73d79e7, protocolVersion: 1.0.0 
18:59:20 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
18:59:20 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
18:59:20 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
18:59:21 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:59:21 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
18:59:24 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:59:24 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:59:26 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:59:26 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:59:28 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:59:28 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:59:30 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
