19:39:59 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 55129 
19:39:59 info -  [SocketServerLauncher] Starting GLSP server connection 
19:39:59 info -  [DefaultGLSPServer] Initializing server with: applicationId: de427efa-e300-4ed4-885b-f10a3f7e3029, protocolVersion: 1.0.0 
19:40:01 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
19:40:01 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
19:40:01 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
19:40:01 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:40:01 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
19:40:06 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
19:40:06 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:40:08 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
19:40:08 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:40:10 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
19:40:11 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:40:13 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
19:40:13 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:40:15 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
19:40:15 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:40:17 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
19:40:29 info -  [DefaultGLSPServer] process [action=deleteElement, clientId=tasklist-diagram_0] 
19:40:29 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:40:32 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
19:40:32 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:40:34 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
19:40:41 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
19:40:45 info -  [DefaultGLSPServer] process [action=deleteElement, clientId=tasklist-diagram_0] 
19:40:45 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:40:46 info -  [DefaultGLSPServer] process [action=deleteElement, clientId=tasklist-diagram_0] 
19:40:46 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:40:49 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
19:40:49 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:40:51 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
19:40:51 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:40:52 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
19:40:59 info -  [DefaultGLSPServer] process [action=deleteElement, clientId=tasklist-diagram_0] 
19:40:59 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:41:00 info -  [DefaultGLSPServer] process [action=deleteElement, clientId=tasklist-diagram_0] 
19:41:00 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:41:03 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
19:41:03 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:41:06 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
19:41:06 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:41:07 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
19:41:48 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
19:41:49 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
19:41:50 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
19:41:50 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
19:41:50 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
19:41:50 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
19:41:52 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
19:41:52 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
19:41:52 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
19:41:52 info -  [DefaultGLSPServer] process [action=applyLabelEdit, clientId=tasklist-diagram_0] 
19:41:52 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:41:55 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
19:41:55 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
19:41:56 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
19:41:56 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
19:41:56 info -  [DefaultGLSPServer] process [action=applyLabelEdit, clientId=tasklist-diagram_0] 
19:41:56 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:41:58 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
19:42:09 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
19:42:09 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
19:42:09 info -  [DefaultGLSPServer] process [action=applyLabelEdit, clientId=tasklist-diagram_0] 
19:42:09 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:42:13 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
