19:43:33 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 55909 
19:43:33 info -  [SocketServerLauncher] Starting GLSP server connection 
19:43:33 info -  [DefaultGLSPServer] Initializing server with: applicationId: 09e025fb-4875-43fd-ba20-e45c8627a283, protocolVersion: 1.0.0 
19:43:35 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
19:43:35 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
19:43:35 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
19:43:36 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:43:36 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
19:43:39 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
19:43:39 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:43:41 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
19:43:41 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:43:42 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
19:43:42 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:43:44 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
19:43:44 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:43:45 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
19:43:45 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:43:50 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
19:43:50 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:43:53 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
19:43:53 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:43:57 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
19:43:57 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:43:59 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
19:43:59 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:44:00 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_0] 
19:44:07 info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
19:44:07 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
