22:03:08 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 61843 
22:03:08 info -  [SocketServerLauncher] Starting GLSP server connection 
22:03:09 info -  [DefaultGLSPServer] Initializing server with: applicationId: aaaffd1a-e34a-4faf-963b-dc58a0aabf2f, protocolVersion: 1.0.0 
22:03:13 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
22:03:13 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
22:03:13 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
22:03:13 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
22:03:13 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
22:03:13 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_1', diagramType: 'tasklist-diagram' 
22:03:13 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_1] 
22:03:13 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_1] 
22:03:13 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_1] 
22:03:13 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_1] 
22:03:18 info -  [DefaultGLSPServer] process [action=generateSql, clientId=tasklist-diagram_0] 
22:03:47 info -  [DefaultGLSPServer] process [action=generateSql, clientId=tasklist-diagram_1] 
22:04:36 info -  [DefaultGLSPServer] process [action=generateSql, clientId=tasklist-diagram_1] 
22:04:43 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_2', diagramType: 'tasklist-diagram' 
22:04:43 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_2] 
22:04:43 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_2] 
22:04:43 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_2] 
22:04:43 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_2] 
22:04:45 info -  [DefaultGLSPServer] process [action=generateSql, clientId=tasklist-diagram_2] 
22:05:15 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_3', diagramType: 'tasklist-diagram' 
22:05:15 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_3] 
22:05:15 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_3] 
22:05:15 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_3] 
22:05:15 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_3] 
22:05:17 info -  [DefaultGLSPServer] process [action=generateSql, clientId=tasklist-diagram_3] 
