22:33:22 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 51782 
22:33:22 info -  [SocketServerLauncher] Starting GLSP server connection 
22:33:22 info -  [DefaultGLSPServer] Initializing server with: applicationId: b93a9867-67f7-4ee9-ae41-0d4e2a035694, protocolVersion: 1.0.0 
22:33:23 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
22:33:23 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
22:33:23 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
22:33:23 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
22:33:23 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
22:34:07 info -  [DefaultGLSPServer] process [action=generateSql, clientId=tasklist-diagram_0] 
22:38:03 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_1', diagramType: 'tasklist-diagram' 
22:38:03 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_1] 
22:38:03 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_1] 
22:38:03 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_1] 
22:38:03 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_1] 
22:39:02 info -  [DefaultGLSPServer] process [action=generateSql, clientId=tasklist-diagram_1] 
