22:46:21 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 51134 
22:46:21 info -  [SocketServerLauncher] Starting GLSP server connection 
22:46:21 info -  [DefaultGLSPServer] Initializing server with: applicationId: f4a0fece-53b2-49e2-94fc-8511161d4ac5, protocolVersion: 1.0.0 
22:46:22 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
22:46:22 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
22:46:22 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
22:46:22 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
22:46:22 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
22:46:30 info -  [DefaultGLSPServer] process [action=generateSql, clientId=tasklist-diagram_0] 
22:49:48 info -  [DefaultGLSPServer] process [action=deleteElement, clientId=tasklist-diagram_0] 
22:49:48 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
22:49:51 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
22:49:51 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
22:49:53 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
22:49:54 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
22:49:54 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
22:49:55 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
22:49:55 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_0] 
22:49:55 info -  [DefaultGLSPServer] process [action=applyLabelEdit, clientId=tasklist-diagram_0] 
22:49:55 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
22:49:57 info -  [DefaultGLSPServer] process [action=generateSql, clientId=tasklist-diagram_0] 
