18:29:18 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 53878 
18:29:19 info -  [SocketServerLauncher] Starting GLSP server connection 
18:29:19 info -  [DefaultGLSPServer] Initializing server with: applicationId: c0f67b12-68c1-41b3-892a-19f7235b8e42, protocolVersion: 1.0.0 
18:29:21 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
18:29:21 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
18:29:21 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
18:29:22 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:29:22 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
18:29:27 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:29:27 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:29:28 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
18:29:28 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:29:32 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:29:32 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:29:35 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:29:35 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:29:38 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:29:38 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:29:42 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:29:42 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
18:29:46 info -  [DefaultGLSPServer] process [action=createEdge, clientId=tasklist-diagram_0] 
18:29:46 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
